cell_id,node_idx,walk_seconds
0,1323,17240
0,1582,17277
0,1583,17281
0,363,1229
0,1351,1880
0,1352,1885
1,1323,17151
1,1582,17185
1,1583,17189
1,363,1021
1,1351,1856
1,1352,1861
2,1323,17064
2,1582,17095
2,1583,17099
2,363,812
2,526,1665
2,527,1671
3,1323,16979
3,1582,17006
3,1583,17011
3,363,603
4,1323,16897
4,1582,16920
4,1583,16925
4,363,395
5,1323,16816
5,1582,16836
5,1583,16842
5,363,186
6,1323,16738
6,1582,16754
6,1583,16760
6,363,27
7,1323,16662
7,1582,16675
7,1583,16681
7,363,232
8,1323,16588
8,1582,16597
8,1583,16604
8,363,441
8,526,561
8,527,564
9,1323,16517
9,1582,16522
9,1583,16529
9,526,459
9,527,459
9,363,649
10,1323,16448
10,1582,16449
10,1583,16456
10,527,436
10,526,439
11,1582,16379
11,1323,16381
11,1583,16386
11,527,507
11,526,512
12,1582,16311
12,1323,16317
12,1583,16318
12,527,641
12,526,647
13,1582,16245
13,1583,16253
13,1323,16255
13,527,807
13,526,814
13,525,1095
14,1582,16181
14,1583,16190
14,1323,16196
14,527,990
14,526,996
14,525,1221
15,1582,16120
15,1583,16129
15,1323,16139
15,527,1181
15,526,1188
15,525,1367
16,1582,16062
16,1583,16071
16,1323,16084
16,527,1377
16,526,1384
16,525,1527
17,1582,16006
17,1583,16016
17,1323,16032
17,527,1577
17,526,1583
17,525,1698
18,1582,15953
18,1583,15963
18,1323,15983
18,527,1778
18,526,1785
18,525,1877
19,1582,15902
19,1583,15912
19,1323,15936
19,527,1981
19,526,1988
19,525,2061
20,1582,15853
20,1583,15864
20,1323,15892
20,527,2185
20,526,2192
20,525,2250
21,1582,15808
21,1583,15819
21,1323,15850
21,527,2390
21,526,2397
21,525,2442
22,1582,15765
22,1583,15776
22,1323,15811
22,527,2596
22,526,2603
22,524,2634
23,1582,15724
23,1583,15736
23,1323,15775
23,527,2802
23,526,2809
23,524,2828
24,1582,15687
24,1583,15699
24,1323,15741
24,527,3008
24,526,3015
24,524,3025
25,1582,15651
25,1583,15664
25,1323,15710
25,527,3215
25,524,3222
25,526,3222
26,1582,15619
26,1583,15632
26,1323,15682
26,524,3421
26,527,3422
26,526,3428
27,1582,15589
27,1583,15603
27,1323,15656
27,524,3622
27,527,3629
27,525,3632
28,1582,15562
28,1583,15576
28,1323,15633
28,524,3823
28,525,3834
28,527,3836
29,1582,15538
29,1583,15552
29,1323,15613
29,1194,3852
29,524,4025
29,525,4037
30,1582,15517
30,1583,15531
30,1323,15596
30,1194,3793
30,1214,3978
30,1215,3987
31,1582,15498
31,1583,15513
31,1323,15582
31,1194,3745
31,1214,3928
31,1215,3937
32,1582,15482
32,1583,15497
32,1323,15570
32,1194,3708
32,1214,3889
32,1215,3897
33,1582,15469
33,1583,15485
33,1323,15561
33,1194,3683
33,1214,3860
33,1215,3869
34,1582,15459
34,1583,15475
34,1323,15555
34,1194,3669
34,1214,3842
34,1215,3852
35,1582,15452
35,1583,15467
35,1323,15551
35,1194,3667
35,1214,3836
35,1215,3846
36,1582,15447
36,1583,15463
36,1323,15551
36,1194,3677
36,1214,3841
36,1215,3851
37,1582,15445
37,1583,15462
37,1323,15553
37,1194,3699
37,1214,3858
37,1215,3867
38,1582,15446
38,1583,15463
38,1323,15558
38,1194,3733
38,1214,3885
38,1215,3895
39,1582,15450
39,1583,15467
39,1323,15566
39,1194,3777
39,1214,3924
39,1215,3933
40,1582,15456
40,1583,15474
40,1323,15576
40,1194,3833
40,1214,3973
40,1215,3982
41,1582,15466
41,1583,15484
41,1323,15590
41,1194,3898
41,1214,4032
41,1215,4041
42,1582,15478
42,1583,15496
42,1323,15606
42,1194,3974
42,1214,4101
42,1215,4110
43,1582,15493
43,1583,15511
43,1059,15617
43,1194,4059
43,1214,4180
43,1215,4189
44,1582,15511
44,1583,15530
44,1059,15630
44,1194,4153
44,1214,4267
44,1215,4276
45,1582,15531
45,1583,15550
45,1059,15646
45,1194,4255
45,1214,4362
45,1215,4371
46,1582,15554
46,1583,15574
46,1059,15665
46,1194,4365
46,1214,4465
46,1215,4474
47,1582,15581
47,1583,15600
47,1059,15687
47,1194,4481
47,1214,4575
47,1215,4584
48,1582,15609
48,1583,15629
48,1059,15712
48,1194,4604
48,1214,4692
48,1215,4701
49,1582,15641
49,1583,15661
49,1059,15739
49,1194,4733
49,1214,4815
49,1215,4824
50,1582,15675
50,1583,15696
50,1059,15769
50,1194,4868
50,1214,4944
50,1215,4952
51,1582,15712
51,1583,15733
51,1059,15801
51,1194,5008
51,1214,5079
51,1215,5086
52,1582,15752
52,1583,15773
52,1059,15837
52,1194,5152
52,1214,5218
52,1215,5225
53,1582,15794
53,1583,15815
53,1059,15874
53,1194,5301
53,1214,5361
53,1215,5369
54,1582,15839
54,1583,15860
54,1059,15915
54,1194,5453
54,1214,5509
54,1215,5516
55,1582,15886
55,1583,15908
55,1059,15958
55,1194,5609
55,1214,5661
55,1215,5668
56,1582,15936
56,1583,15959
56,1059,16004
56,1194,5769
56,1214,5816
56,1215,5823
57,1582,15989
57,1583,16011
57,1059,16052
57,1194,5931
57,1214,5974
57,1215,5981
58,1582,16044
58,1583,16067
58,1059,16103
58,1194,6097
58,1214,6135
58,1215,6142
59,1582,16102
59,1583,16125
59,1059,16157
59,1194,6265
59,1214,6300
59,1215,6306
60,1582,16162
60,1583,16185
60,1059,16213
60,1194,6435
60,1214,6466
60,1215,6473
61,1582,16224
61,1583,16248
61,1059,16271
61,1194,6607
61,1214,6635
61,1215,6642
62,1582,16289
62,1583,16313
62,1059,16332
62,1194,6782
62,1214,6807
62,1215,6813
63,1582,16357
63,1583,16381
63,1059,16395
63,1194,6958
63,1214,6980
63,1215,6986
64,1582,16427
64,1583,16451
64,1059,16461
64,1194,7137
64,1214,7155
64,1215,7161
65,1582,16499
65,1583,16523
65,1059,16529
65,1194,7316
65,1214,7332
65,1215,7338
66,1582,16573
66,1583,16598
66,1059,16599
66,1194,7498
66,1214,7511
66,1215,7517
67,1582,16650
67,1059,16672
67,1583,16675
67,1194,7680
67,1214,7691
67,1215,7697
68,1582,16729
68,1059,16747
68,1583,16754
68,1194,7864
68,1214,7872
68,1215,7878
69,1582,16810
69,1059,16824
69,1583,16835
69,1194,8049
69,1214,8055
69,1215,8061
70,1582,16893
70,1059,16904
70,1583,16919
70,1194,8236
70,1214,8239
70,1216,8241
71,1582,16979
71,1059,16985
71,1583,17004
71,1216,8422
71,1194,8423
71,1214,8424
72,1582,17066
72,1059,17069
72,1583,17092
72,1216,8603
72,1194,8611
72,1214,8611
73,1059,17155
73,1582,17156
73,1583,17182
73,1216,8786
73,1217,8795
73,1214,8798
74,1059,17243
74,1582,17248
74,1583,17274
74,1744,8890
74,1216,8970
74,1217,8979
75,1059,17333
75,1582,17342
75,1058,17367
75,1744,8976
75,1216,9155
75,1217,9165
76,1059,17425
76,1582,17437
76,1058,17459
76,1744,9067
76,1216,9341
76,1217,9351
77,1059,17519
77,1582,17535
77,1058,17553
77,1744,9161
77,1216,9528
77,1217,9538
78,1059,17615
78,1582,17635
78,1058,17648
78,1744,9259
78,1216,9716
78,1217,9726
79,1059,17713
79,1582,17736
79,1058,17746
79,1744,9360
79,1216,9905
79,1217,9915
80,1059,17813
80,1582,17840
80,1058,17845
80,1744,9465
80,1216,10094
80,1217,10105
81,1059,17915
81,1582,17945
81,1058,17947
81,1744,9574
81,1216,10285
81,1217,10295
82,1059,18018
82,1058,18050
82,1582,18052
82,1744,9685
82,1216,10476
82,1217,10486
83,1059,18123
83,1058,18155
83,1582,18160
83,1744,9800
83,1743,10629
83,1216,10667
84,1059,18231
84,1058,18262
84,1582,18271
84,1744,9918
84,1743,10739
84,1216,10859
85,1059,18339
85,1058,18370
85,1582,18383
85,1744,10039
85,1743,10851
85,1216,11052
86,1059,18450
86,1058,18480
86,1582,18497
86,1744,10163
86,1743,10966
86,1458,11209
87,1059,18562
87,1058,18592
87,1582,18612
87,1744,10289
87,1743,11084
87,1458,11329
88,1059,18676
88,1058,18706
88,1582,18730
88,1744,10419
88,1743,11205
88,1458,11452
89,1059,18792
89,1058,18821
89,1582,18848
89,1744,10550
89,1743,11328
89,1469,11576
90,1059,18909
90,1058,18938
90,1582,18968
90,1744,10684
90,1743,11454
90,1469,11689
91,1059,19028
91,1058,19056
91,1582,19090
91,1744,10821
91,1743,11582
91,1469,11805
92,1059,19148
92,1058,19176
92,1582,19213
92,1744,10960
92,1743,11712
92,1469,11923
93,1059,19270
93,1058,19297
93,1582,19338
93,1744,11100
93,1743,11845
93,1469,12043
94,1059,19393
94,1058,19420
94,1582,19464
94,1744,11243
94,1743,11979
94,1469,12166
95,1323,17052
95,1582,17092
95,1583,17095
95,363,1244
95,1351,1675
95,1352,1681
96,1323,16962
96,1582,16998
96,1583,17002
96,363,1039
96,1351,1649
96,1352,1653
97,1323,16874
97,1582,16907
97,1583,16911
97,363,834
97,526,1623
97,527,1630
98,1323,16789
98,1582,16818
98,1583,16822
98,363,633
99,1323,16705
99,1582,16730
99,1583,16735
99,363,439
100,1323,16624
100,1582,16645
100,1583,16651
100,363,268
101,1323,16545
101,1582,16563
101,1583,16568
101,363,195
102,1323,16468
102,1582,16482
102,1583,16488
102,363,302
102,526,608
102,527,613
103,1323,16393
103,1582,16404
103,1583,16410
103,526,422
103,527,426
103,363,481
104,1323,16321
104,1582,16328
104,1583,16334
104,526,270
104,527,272
105,1323,16251
105,1582,16254
105,1583,16261
105,527,231
105,526,235
106,1582,16183
106,1323,16184
106,1583,16190
106,527,347
106,526,353
107,1582,16114
107,1323,16119
107,1583,16121
107,527,523
107,526,530
108,1582,16047
108,1583,16055
108,1323,16056
108,527,717
108,526,724
108,525,927
109,1582,15983
109,1583,15991
109,1323,15996
109,527,918
109,526,925
109,525,1072
110,1582,15921
110,1583,15930
110,1323,15938
110,527,1121
110,526,1128
110,525,1236
111,1582,15862
111,1583,15871
111,1323,15883
111,527,1327
111,526,1333
111,525,1411
112,1582,15805
112,1583,15815
112,1323,15830
112,527,1533
112,526,1539
112,525,1595
113,1582,15751
113,1583,15761
113,1323,15780
113,527,1739
113,526,1746
113,525,1784
114,1582,15700
114,1583,15710
114,1323,15733
114,527,1946
114,526,1953
114,524,1976
115,1582,15651
115,1583,15661
115,1323,15688
115,527,2154
115,526,2161
115,524,2169
116,1582,15604
116,1583,15615
116,1323,15646
116,527,2361
116,524,2365
116,526,2368
117,1582,15561
117,1583,15572
117,1323,15606
117,524,2563
117,527,2569
117,525,2571
118,1582,15520
118,1583,15532
118,1323,15570
118,524,2762
118,525,2772
118,527,2777
119,1582,15482
119,1583,15494
119,1323,15535
119,524,2963
119,525,2974
119,522,2980
120,1582,15446
120,1583,15458
120,1323,15504
120,524,3164
120,525,3177
120,522,3180
121,1582,15413
121,1583,15426
121,1323,15475
121,524,3367
121,525,3380
121,522,3381
122,1582,15383
122,1583,15396
122,1323,15450
122,524,3570
122,522,3583
122,525,3585
123,1582,15356
123,1583,15369
123,1323,15426
123,1194,3727
123,524,3774
123,522,3785
124,1582,15331
124,1583,15345
124,1323,15406
124,1194,3654
124,1214,3841
124,1215,3850
125,1582,15310
125,1583,15324
125,1323,15389
125,1194,3592
125,1214,3778
125,1215,3786
126,1582,15291
126,1583,15305
126,1323,15374
126,1194,3541
126,1214,3725
126,1215,3734
127,1582,15275
127,1583,15290
127,1323,15362
127,1194,3503
127,1214,3683
127,1215,3692
128,1582,15261
128,1583,15277
128,1323,15353
128,1194,3476
128,1214,3653
128,1215,3662
129,1582,15251
129,1583,15267
129,1323,15347
129,1194,3461
129,1214,3635
129,1215,3644
130,1582,15244
130,1583,15259
130,1323,15343
130,1194,3459
130,1214,3628
130,1215,3637
131,1582,15239
131,1583,15255
131,1323,15343
131,1194,3470
131,1214,3634
131,1215,3643
132,1582,15237
132,1583,15254
132,1323,15345
132,1194,3493
132,1214,3651
132,1215,3660
133,1582,15238
133,1583,15255
133,1323,15350
133,1194,3528
133,1214,3680
133,1215,3689
134,1582,15242
134,1583,15259
