node_idx,node_kind,node_key,stop_id,stop_name,parent_station,lat,lon,location_type,is_rail_like,physical_node_idx,route_id,direction_id
0,physical,0001,0001,"Seyssins, Comboire",COM,45.14629,5.69071,,0,,,
1,physical,0002,0002,"Saint-Martin-d'Hères, Jules Vallès provisoire",JVA,45.18416,5.74749,,0,,,
2,physical,0003,0003,"Grenoble, Jules Vallès provisoire",JVA,45.18412,5.74739,,0,,,
3,physical,0006,0006,"La Tronche, Commandant Nal",COMMANAL,45.20317,5.74536,,0,,,
4,physical,0007,0007,"La Tronche, Musée Hébert",MUSHEBER,45.20566,5.74881,,0,,,
5,physical,0008,0008,"La Tronche, Centre Théologique",CENTHEOL,45.2062,5.75207,,0,,,
6,physical,0009,0009,"Montbonnot-Saint-Martin, Pré de l'Eau",EAU,45.22388,5.81894,,0,,,
7,physical,0011,0011,"Meylan, Malacher",MALACHER,45.21128,5.78724,,0,,,
8,physical,0012,0012,"La Tronche, La Carronnerie Basse",CARONBAS,45.20095,5.75812,,0,,,
9,physical,0013,0013,"Meylan, Chemin de l'Église",MEG,45.22669,5.78719,,0,,,
10,physical,0014,0014,"Meylan, Chemin de l'Église",MEG,45.22667,5.7873,,0,,,
11,physical,0016,0016,"Meylan, Meylan Mairie",MEYLMAIR,45.20937,5.77699,,0,,,
12,physical,0018,0018,"Meylan, Buclos",BUC1,45.206,5.77181,,0,,,
13,physical,0019,0019,"Meylan, Buclos",BUC1,45.20587,5.77178,,0,,,
14,physical,0020,0020,"Saint-Ismier, Bois Français",BOISFRAN,45.22483,5.83763,,0,,,
15,physical,0021,0021,"Meylan, La Revirée",REV,45.20747,5.76785,,0,,,
16,physical,0022,0022,"Saint-Martin-le-Vinoux, Souchet",SOU,45.20983,5.7138,,0,,,
17,physical,0025,0025,"Saint-Martin-le-Vinoux, Souchet",SOU,45.20985,5.71391,,0,,,
18,physical,0026,0026,"Meylan, Les Léchères",LECHERES,45.2045,5.75925,,0,,,
19,physical,0027,0027,"Meylan, Les Léchères",LECHERES,45.20523,5.75854,,0,,,
20,physical,0028,0028,"Meylan, Plaine Fleurie",PLAINEFL,45.20268,5.76092,,0,,,
21,physical,0029,0029,"Meylan, Les Jaillières",JAILLIER,45.22064,5.78915,,0,,,
22,physical,0030,0030,"Meylan, Saint-Mury",STMURY,45.21945,5.78603,,0,,,
23,physical,0031,0031,"Meylan, Bérivière",BERIVIER,45.2188,5.78305,,0,,,
24,physical,0032,0032,"Meylan, Les Mûriers",MURIERS,45.21601,5.77943,,0,,,
25,physical,0033,0033,"Meylan, Chaumetière",CHAUMETI,45.21242,5.76983,,0,,,
26,physical,0034,0034,"Meylan, Saint-Jean Bosco",STJBOSCO,45.21282,5.77303,,0,,,
27,physical,0035,0035,"Meylan, Lycée du Grésivaudan - Bachais",LYCBACHA,45.21419,5.77906,,0,,,
28,physical,0037,0037,"Domène, Domène Mairie",DOMENEMA,45.20154,5.83814,,0,,,
29,physical,0038,0038,"Domène, Les Mortes",MORTES,45.19638,5.82883,,0,,,
30,physical,0039,0039,"Murianette, Le Bourg",BOURG,45.19185,5.81666,,0,,,
31,physical,0040,0040,"Gières, La Perrière",PERRIERE,45.18903,5.81002,,0,,,
32,physical,0041,0041,"Murianette, La Perrière",PERRIERE,45.18971,5.81178,,0,,,
33,physical,0042,0042,"Gières, Le Japin",LEJAPIN,45.18748,5.80701,,0,,,
34,physical,0043,0043,"Gières, Champrondet",CHAMPRON,45.18581,5.80282,,0,,,
35,physical,0044,0044,"Gières, Pied de Gières",PIEDGIER,45.1839,5.79849,,0,,,
36,physical,0045,0045,"Gières, Pied de Gières",PIEDGIER,45.18379,5.79856,,0,,,
37,physical,0046,0046,"Meylan, Malacher",MAC,45.20988,5.78679,,0,,,
38,physical,0050,0050,"Meylan, Malacher",MAC,45.20994,5.78688,,0,,,
