cell_id,cell_lat,cell_lon,in_scope
0,40.2700000,-3.9200000,1
1,40.2700000,-3.9170485,1
2,40.2700000,-3.9140970,1
3,40.2700000,-3.9111454,1
4,40.2700000,-3.9081939,1
5,40.2700000,-3.9052424,1
6,40.2700000,-3.9022909,1
7,40.2700000,-3.8993393,1
8,40.2700000,-3.8963878,1
9,40.2700000,-3.8934363,0
10,40.2700000,-3.8904848,0
11,40.2700000,-3.8875332,1
12,40.2700000,-3.8845817,1
13,40.2700000,-3.8816302,1
14,40.2700000,-3.8786787,1
15,40.2700000,-3.8757271,1
16,40.2700000,-3.8727756,1
17,40.2700000,-3.8698241,0
18,40.2700000,-3.8668726,0
19,40.2700000,-3.8639210,0
20,40.2700000,-3.8609695,0
21,40.2700000,-3.8580180,0
22,40.2700000,-3.8550665,0
23,40.2700000,-3.8521149,0
24,40.2700000,-3.8491634,0
25,40.2700000,-3.8462119,1
26,40.2700000,-3.8432604,1
27,40.2700000,-3.8403088,1
28,40.2700000,-3.8373573,1
29,40.2700000,-3.8344058,1
30,40.2700000,-3.8314543,1
31,40.2700000,-3.8285027,1
32,40.2700000,-3.8255512,1
33,40.2700000,-3.8225997,1
34,40.2700000,-3.8196482,1
35,40.2700000,-3.8166966,1
36,40.2700000,-3.8137451,1
37,40.2700000,-3.8107936,1
38,40.2700000,-3.8078421,1
39,40.2700000,-3.8048906,1
40,40.2700000,-3.8019390,1
41,40.2700000,-3.7989875,1
42,40.2700000,-3.7960360,0
43,40.2700000,-3.7930845,0
44,40.2700000,-3.7901329,0
45,40.2700000,-3.7871814,0
46,40.2700000,-3.7842299,0
47,40.2700000,-3.7812784,0
48,40.2700000,-3.7783268,0
49,40.2700000,-3.7753753,0
50,40.2700000,-3.7724238,1
51,40.2700000,-3.7694723,1
52,40.2700000,-3.7665207,1
53,40.2700000,-3.7635692,1
54,40.2700000,-3.7606177,1
55,40.2700000,-3.7576662,1
56,40.2700000,-3.7547146,1
57,40.2700000,-3.7517631,1
58,40.2700000,-3.7488116,1
59,40.2700000,-3.7458601,1
60,40.2700000,-3.7429085,1
61,40.2700000,-3.7399570,1
62,40.2700000,-3.7370055,1
63,40.2700000,-3.7340540,1
64,40.2700000,-3.7311024,1
65,40.2700000,-3.7281509,1
66,40.2700000,-3.7251994,1
67,40.2700000,-3.7222479,1
68,40.2700000,-3.7192963,1
69,40.2700000,-3.7163448,1
70,40.2700000,-3.7133933,1
71,40.2700000,-3.7104418,1
72,40.2700000,-3.7074902,1
73,40.2700000,-3.7045387,1
74,40.2700000,-3.7015872,1
75,40.2700000,-3.6986357,1
76,40.2700000,-3.6956842,1
77,40.2700000,-3.6927326,1
78,40.2700000,-3.6897811,1
79,40.2700000,-3.6868296,1
80,40.2700000,-3.6838781,1
81,40.2700000,-3.6809265,1
82,40.2700000,-3.6779750,0
83,40.2700000,-3.6750235,0
84,40.2700000,-3.6720720,0
85,40.2700000,-3.6691204,0
86,40.2700000,-3.6661689,0
87,40.2700000,-3.6632174,0
88,40.2700000,-3.6602659,0
89,40.2700000,-3.6573143,0
90,40.2700000,-3.6543628,0
91,40.2700000,-3.6514113,0
92,40.2700000,-3.6484598,0
93,40.2700000,-3.6455082,0
94,40.2700000,-3.6425567,0
95,40.2700000,-3.6396052,0
96,40.2700000,-3.6366537,0
97,40.2700000,-3.6337021,0
98,40.2700000,-3.6307506,0
99,40.2700000,-3.6277991,0
100,40.2700000,-3.6248476,0
101,40.2700000,-3.6218960,0
102,40.2700000,-3.6189445,0
103,40.2700000,-3.6159930,0
104,40.2700000,-3.6130415,0
105,40.2700000,-3.6100899,0
106,40.2700000,-3.6071384,0
107,40.2700000,-3.6041869,0
108,40.2700000,-3.6012354,1
109,40.2700000,-3.5982839,1
110,40.2700000,-3.5953323,1
111,40.2700000,-3.5923808,1
112,40.2700000,-3.5894293,1
113,40.2700000,-3.5864778,1
114,40.2700000,-3.5835262,1
115,40.2700000,-3.5805747,0
116,40.2700000,-3.5776232,0
117,40.2700000,-3.5746717,0
118,40.2700000,-3.5717201,0
119,40.2700000,-3.5687686,0
120,40.2700000,-3.5658171,0
121,40.2700000,-3.5628656,0
122,40.2700000,-3.5599140,0
123,40.2700000,-3.5569625,0
124,40.2700000,-3.5540110,0
125,40.2700000,-3.5510595,0
126,40.2700000,-3.5481079,0
127,40.2700000,-3.5451564,0
128,40.2700000,-3.5422049,0
129,40.2700000,-3.5392534,0
130,40.2700000,-3.5363018,0
131,40.2700000,-3.5333503,0
132,40.2700000,-3.5303988,0
133,40.2700000,-3.5274473,0
134,40.2700000,-3.5244957,0
135,40.2700000,-3.5215442,0
136,40.2700000,-3.5185927,0
137,40.2700000,-3.5156412,0
138,40.2700000,-3.5126896,0
139,40.2700000,-3.5097381,0
140,40.2700000,-3.5067866,0
141,40.2722458,-3.9200000,1
142,40.2722458,-3.9170485,1
143,40.2722458,-3.9140970,1
144,40.2722458,-3.9111454,1
145,40.2722458,-3.9081939,1
146,40.2722458,-3.9052424,1
147,40.2722458,-3.9022909,1
148,40.2722458,-3.8993393,1
149,40.2722458,-3.8963878,0
150,40.2722458,-3.8934363,0
151,40.2722458,-3.8904848,0
