cell_id,cell_lat,cell_lon,in_scope
0,48.4056700,1.7000100,0
1,48.4056700,1.7034180,0
2,48.4056700,1.7068261,0
3,48.4056700,1.7102341,0
4,48.4056700,1.7136421,0
5,48.4056700,1.7170502,0
6,48.4056700,1.7204582,0
7,48.4056700,1.7238662,0
8,48.4056700,1.7272743,0
9,48.4056700,1.7306823,0
10,48.4056700,1.7340903,0
11,48.4056700,1.7374984,0
12,48.4056700,1.7409064,0
13,48.4056700,1.7443144,0
14,48.4056700,1.7477225,0
15,48.4056700,1.7511305,0
16,48.4056700,1.7545385,0
17,48.4056700,1.7579465,0
18,48.4056700,1.7613546,0
19,48.4056700,1.7647626,0
20,48.4056700,1.7681706,0
21,48.4056700,1.7715787,0
22,48.4056700,1.7749867,0
23,48.4056700,1.7783947,0
24,48.4056700,1.7818028,0
25,48.4056700,1.7852108,0
26,48.4056700,1.7886188,0
27,48.4056700,1.7920269,0
28,48.4056700,1.7954349,0
29,48.4056700,1.7988429,0
30,48.4056700,1.8022510,0
31,48.4056700,1.8056590,0
32,48.4056700,1.8090670,0
33,48.4056700,1.8124751,0
34,48.4056700,1.8158831,0
35,48.4056700,1.8192911,0
36,48.4056700,1.8226992,0
37,48.4056700,1.8261072,0
38,48.4056700,1.8295152,0
39,48.4056700,1.8329233,0
40,48.4056700,1.8363313,0
41,48.4056700,1.8397393,0
42,48.4056700,1.8431474,0
43,48.4056700,1.8465554,0
44,48.4056700,1.8499634,0
45,48.4056700,1.8533714,0
46,48.4056700,1.8567795,0
47,48.4056700,1.8601875,0
48,48.4056700,1.8635955,0
49,48.4056700,1.8670036,0
50,48.4056700,1.8704116,0
51,48.4056700,1.8738196,0
52,48.4056700,1.8772277,0
53,48.4056700,1.8806357,0
54,48.4056700,1.8840437,0
55,48.4056700,1.8874518,0
56,48.4056700,1.8908598,0
57,48.4056700,1.8942678,0
58,48.4056700,1.8976759,0
59,48.4056700,1.9010839,0
60,48.4056700,1.9044919,0
61,48.4056700,1.9079000,0
62,48.4056700,1.9113080,0
63,48.4056700,1.9147160,0
64,48.4056700,1.9181241,0
65,48.4056700,1.9215321,0
66,48.4056700,1.9249401,0
67,48.4056700,1.9283482,0
68,48.4056700,1.9317562,0
69,48.4056700,1.9351642,0
70,48.4056700,1.9385723,0
71,48.4056700,1.9419803,0
72,48.4056700,1.9453883,0
73,48.4056700,1.9487964,0
74,48.4056700,1.9522044,0
75,48.4056700,1.9556124,0
76,48.4056700,1.9590204,0
77,48.4056700,1.9624285,0
78,48.4056700,1.9658365,0
79,48.4056700,1.9692445,0
80,48.4056700,1.9726526,1
81,48.4056700,1.9760606,1
82,48.4056700,1.9794686,1
83,48.4056700,1.9828767,1
84,48.4056700,1.9862847,1
85,48.4056700,1.9896927,1
86,48.4056700,1.9931008,0
87,48.4056700,1.9965088,0
88,48.4056700,1.9999168,0
89,48.4056700,2.0033249,0
90,48.4056700,2.0067329,0
91,48.4056700,2.0101409,0
92,48.4056700,2.0135490,0
93,48.4056700,2.0169570,0
94,48.4056700,2.0203650,0
95,48.4056700,2.0237731,0
96,48.4056700,2.0271811,0
97,48.4056700,2.0305891,0
98,48.4056700,2.0339972,1
99,48.4056700,2.0374052,1
100,48.4056700,2.0408132,1
101,48.4056700,2.0442213,1
102,48.4056700,2.0476293,1
103,48.4056700,2.0510373,1
104,48.4056700,2.0544453,0
105,48.4056700,2.0578534,0
106,48.4056700,2.0612614,0
107,48.4056700,2.0646694,0
108,48.4056700,2.0680775,0
109,48.4056700,2.0714855,0
110,48.4056700,2.0748935,0
111,48.4056700,2.0783016,0
112,48.4056700,2.0817096,0
113,48.4056700,2.0851176,0
114,48.4056700,2.0885257,0
115,48.4056700,2.0919337,0
116,48.4056700,2.0953417,0
117,48.4056700,2.0987498,0
118,48.4056700,2.1021578,0
119,48.4056700,2.1055658,0
120,48.4056700,2.1089739,0
121,48.4056700,2.1123819,0
122,48.4056700,2.1157899,0
123,48.4056700,2.1191980,0
124,48.4056700,2.1226060,0
125,48.4056700,2.1260140,0
126,48.4056700,2.1294221,0
127,48.4056700,2.1328301,1
128,48.4056700,2.1362381,1
129,48.4056700,2.1396462,1
130,48.4056700,2.1430542,1
131,48.4056700,2.1464622,1
132,48.4056700,2.1498702,1
133,48.4056700,2.1532783,1
134,48.4056700,2.1566863,1
135,48.4056700,2.1600943,0
136,48.4056700,2.1635024,0
137,48.4056700,2.1669104,0
138,48.4056700,2.1703184,0
139,48.4056700,2.1737265,1
140,48.4056700,2.1771345,1
141,48.4056700,2.1805425,1
142,48.4056700,2.1839506,0
143,48.4056700,2.1873586,0
144,48.4056700,2.1907666,0
145,48.4056700,2.1941747,0
146,48.4056700,2.1975827,0
147,48.4056700,2.2009907,0
148,48.4056700,2.2043988,0
149,48.4056700,2.2078068,1
150,48.4056700,2.2112148,1
151,48.4056700,2.2146229,1
